crc,name,game,title
71025a8a,669-4b.cpu,hh_4b,Haunted House (rev. 4 unofficial Votrax speech MOD  LED+Secret Tunnel)
96e72b93,669-1.cpu,hh_1,Haunted House (rev. 1)
efad7312,671-a.cpu,eclipse,Eclipse
a0f9e56b,80tst.cpu,s80tst,System 80 Test Fixture
b9dbdd21,80tst-s1.snd,s80tst,System 80 Test Fixture
1a4b1e9d,80tst-s2.snd,s80tst,System 80 Test Fixture
6318bce2,670-1.cpu,dvlsdre,Devil's Dare
506bc22a,670-s1.snd,dvlsdre,Devil's Dare
f662ee4b,670-s2.snd,dvlsdre,Devil's Dare
353b2e18,670-a.cpu,dvlsdre2,Devil's Dare (Sound Only)
f141d535,670-a-s.snd,dvlsdre2,Devil's Dare (Sound Only)
dd8d516c,pv810-1.cpu,caveman,Caveman (Pinball/Video Combo)
a491664d,pv810-s1.snd,caveman,Caveman (Pinball/Video Combo)
d8654e6e,pv810-s2.snd,caveman,Caveman (Pinball/Video Combo)
514aa152,v810-u8.bin,caveman,Caveman (Pinball/Video Combo)
74c6533e,v810-u7.bin,caveman,Caveman (Pinball/Video Combo)
2fd0ee95,v810-u6.bin,caveman,Caveman (Pinball/Video Combo)
2fb15da3,v810-u5.bin,caveman,Caveman (Pinball/Video Combo)
2dfe8492,v810-u4.bin,caveman,Caveman (Pinball/Video Combo)
740e9ec3,v810-u3.bin,caveman,Caveman (Pinball/Video Combo)
b793baf9,v810-u2.bin,caveman,Caveman (Pinball/Video Combo)
0a283b15,v810-u1.bin,caveman,Caveman (Pinball/Video Combo)
3437c697,v810-u4a.bin,cavemana,Caveman (Pinball/Video Combo) (set 2)
729819f6,v810-u3a.bin,cavemana,Caveman (Pinball/Video Combo) (set 2)
ab6193c2,v810-u2a.bin,cavemana,Caveman (Pinball/Video Combo) (set 2)
7c6410fb,v810-u1a.bin,cavemana,Caveman (Pinball/Video Combo) (set 2)
341697b9,pv810-2.cpu,cavemane,Caveman (Pinball/Video Combo) (Evolution  unofficial MOD)
8e2f0d39,672-2x.cpu,rocky,Rocky
10ba523c,672-s1.snd,rocky,Rocky
5e77117a,672-s2.snd,rocky,Rocky
57a0ce22,f672-s1.snd,rockyf,Rocky (French Speech)
87a0474f,f672-s2.snd,rockyf,Rocky (French Speech)
a7dc2207,673-2.cpu,spirit,Spirit (rev. 2)
fd3062ae,673-s1.snd,spirit,Spirit (rev. 2)
7cf923f1,673-s2.snd,spirit,Spirit (rev. 2)
c54c717a,673.bin,spirit0,Spirit
20aff323,673-3.bin,spirit3,Spirit (rev. 3 MOD)
06b66ce8,675.cpu,striker,Striker
cc11c487,675-s1.snd,striker,Striker
ec30a3d9,675-s2.snd,striker,Striker
9d2acc31,675-s2ge.snd,strikerg,Striker (German Speech)
70cccc57,674.cpu,punk,Punk!
b75f79d5,674-s1.snd,punk,Punk!
005d123a,674-s2.snd,punk,Punk!
71507430,676-3.cpu,krull,Krull
b1989d8f,676-s1.snd,krull,Krull
05fade11,676-s2.snd,krull,Krull
fd885874,677.cpu,qbquest,Q*Bert's Quest
